Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
151,16.853,724.52631,220300,234949,223669,171766,542264,207739,186220,267283,330184,347433,221830,219534,235253,239341
152,16.695,729.59058,637749,685538,1097563,968236,608170,719898,678586,580586,710602,783332,797547,793976,661227,990924
153,15.699,730.53668,495128,748650,1036533,317804,618650,1007410,482287,690123,888989,585200,1447706,1239134,1295513,924834
154,16.413,732.55347,598898,691694,659698,475078,499375,922536,532837,691284,457161,469344,1306964,1278886,1554491,768122
155,18.079,733.61554,583321,360087,170917,417216,487133,88269,153461,82629,368596,772246,475991,125516,117457,877633
156,17.891,733.61737,120920,396300,733153,419030,487133,477464,600274,114948,212834,772246,334436,545424,571730,876687
157,18.72,733.75403,16000,16776,7106,7869,8472,15744,8686,5820,9460,10358,10100,8652,16452,10326
158,20.723,734.68286,44345,31015,27280,37394,67611,40114,45719,51362,65787,58275,60885,47974,67005,55021
159,21.552,738.71185,135882,144158,17849,158469,27345,152431,135784,141300,212466,165753,190006,189967,141798,165767
160,21.739,738.71234,138812,143993,150481,157735,257715,28710,133762,22572,212466,31343,36856,189967,141798,21852
161,19.472,738.75262,6284,63103,35415,33110,10026,53512,11536,56220,44401,58491,38868,20540,23478,65051
162,17.461,744.55219,167178,118156,215250,78375,54576,92005,154942,190003,132421,77171,125973,89651,161381,86550
163,18.184,745.62012,214071,344279,605705,294173,8021,294721,274746,289899,410707,422777,570208,438331,356128,427498
164,19.033,749.74664,50730,72108,73648,43609,72817,68329,50432,67755,50075,57794,48246,59672,55182,84353
165,15.992,756.55286,3554862,508847,3837015,3228618,3448598,4320542,2337680,4136052,4905878,2690358,4869450,3343574,6692770,3264286
166,15.709,756.55542,333326,2933408,624557,606923,546837,1039743,316778,1087983,559410,461261,1580505,532055,855270,803626
167,16.536,758.93463,55383,64727,60065,66531,51970,66835,63558,70661,50428,60825,74801,48734,62995,62047
168,18.728,759.63586,615836,4463556,5466770,3726776,4027688,3531627,3870251,4567540,4906178,4105461,4685322,4491673,4618309,4504144
169,17.242,768.5531,111273,67799,164879,46049,54432,47785,55252,44457,83438,77652,135475,59330,63541,101417
170,16.994,772.58374,715152,1132042,1913348,1141414,714177,1565483,1246571,1330926,1428663,1261201,1116961,958860,1511255,1314203
171,19.259,773.65015,871788,254494,2010124,163189,1027680,236099,1294211,302704,1691980,1469832,334259,1652094,374320,320042
172,17.822,786.59857,3153994,1731860,3836820,1718235,4132248,1829843,3519084,2315254,3056518,2397608,1340662,2611461,2295112,1895856
173,18.746,786.65497,2334444,790088,4224782,779201,3720068,2934699,2943303,793441,2935997,2702772,690717,3578236,3136161,779703
174,20.125,792.70721,317429,175775,1087390,344566,87654,419840,509803,218446,101369,300865,284282,1262874,1121819,227980
175,19.047,798.67944,58713,55562,39453,45392,29001,55801,50346,44227,52684,59352,54828,50086,61909,45123
176,17.963,800.61462,232558,349259,393292,268757,247579,399044,355220,433133,311859,302633,269767,292218,383414,295342
177,18.622,810.67944,145463,181066,144299,294411,106537,172616,163986,125780,128611,142174,149991,170839,148046,152700
178,15.41,863.56329,60968,49349,48034,38472,45229,51125,49148,55695,44970,38946,48123,34616,45336,42218
179,20.93,874.73163,60211,47092,56687,49205,39932,58782,48258,54597,37558,42175,38603,51058,46201,60303
180,15.406,880.58942,500710,433268,453036,379068,402630,432658,479573,443849,348365,316530,405371,302063,383793,404410
181,15.41,885.54401,72376,60650,55851,58341,49719,66736,76961,58988,48009,47908,50491,41586,54953,54054
182,15.265,909.54596,144178,181586,170154,174070,209185,193546,215671,184828,150162,189789,139986,204510,166277,194315
183,15.031,928.591,57360,187082,85697,67631,36696,67965,139414,44297,28950,43240,101112,98289,33009,88720
184,18.44,972.73322,60719,58054,47118,105059,50637,70798,68231,53928,40752,49459,49233,85802,45825,50162
185,14.575,1153.71716,23034,42401,32127,47329,32922,31376,38803,32846,29897,27077,33459,40748,31540,34124
186,21.721,1267.20068,39267,87771,72737,60153,60121,55972,75704,47770,57703,55913,50114,60467,48190,82844
187,16.681,1406.13745,50057,136593,79466,172658,91371,86047,134649,69112,76543,105411,58296,105337,77270,79925
188,16.298,1445.01123,65146,73476,81158,91519,79316,80832,60148,83617,80163,92530,87730,79346,63502,98906
189,16.634,1461.12952,376306,569059,477995,632883,551446,420649,623450,456258,468812,539175,373610,477956,476611,473848
190,16.71,1487.1438,208939,283253,306546,306049,261671,323655,257200,222988,237333,258490,328602,287350,295496,364591
191,16.532,1516.12402,2658198,2780994,2812824,2869652,3038437,2649489,2853752,3278446,2593837,2830011,2769679,2162302,2854752,3010450
192,17.253,1520.15466,906580,1274584,973888,1195944,1003423,1014066,1050225,1104011,570598,779894,1591563,1001746,1352405,1106628
193,16.854,1552.16321,190956,237541,339201,301742,399634,236595,206181,286021,185940,262302,310898,249773,219535,222276
194,17.406,1572.18896,1873475,1896246,2484878,1897330,2396676,2048559,2525748,2350931,2214984,1917779,1418997,1780271,2030752,1858826
195,20.878,1757.54333,100455,103130,91018,46583,29590,79590,47344,106491,65548,39232,34260,55410,29927,21966
