Spearman_Cor,Pearson_Cor,RSD_PAPH,norm_diff_PA_PH_median,Label
0.938461538,0.967834016,0.045102102,0.170869862,1
0.991208791,0.990930096,0.017388411,0.064728231,1
0.991208791,0.999406653,0.031975227,0.104818423,1
0.995604396,0.99737476,0.029650078,0.121353695,1
0.969230769,0.994265917,0.0204914,0.063144182,1
0.991208791,0.996178809,0.022740326,0.072025088,1
0.995604396,0.998610114,0.024537989,0.091333457,1
0.978021978,0.989743974,0.021881022,0.079201874,1
0.938461538,0.983803314,0.033507484,0.112483213,1
0.964835165,0.986326317,0.039958655,0.125927712,1
0.850549451,0.956666898,0.026824682,0.089387931,1
0.995604396,0.994892653,0.027975408,0.101551455,1
0.956043956,0.967588922,0.061947747,0.217204124,1
0.920879121,0.942393261,0.079586781,0.34307851,1
0.986813187,0.997319068,0.047073099,0.168294577,1
