Spearman_Cor,Pearson_Cor,RSD_PAPH,norm_diff_PA_PH_median,Label
0.928571429,0.922561736,0.338725252,1.02007603,0
0.464285714,0.520214257,0.310590393,1.040695115,0
0.648674973,0.698885664,0.412123712,1.328415305,0
0.178571429,-0.060801648,0.220796118,0.593452905,0
0.964285714,0.996466003,0.016336524,0.046263569,1
1,0.998088159,0.011535307,0.032109312,1
0.714285714,0.795466123,0.216294487,0.487502022,0
0.857142857,0.888803018,0.298178527,0.897649178,0
0.178571429,0.130462706,0.273763295,0.734658795,0
0.857142857,0.908050859,0.307524606,0.721585986,0
0.642857143,0.743160374,0.452474336,1.525504041,0
0.964285714,0.948646472,0.704501518,1.862576059,0
0.964285714,0.99756222,0.015863019,0.048276583,1
0.892857143,0.999563712,0.021926103,0.056399806,1
1,0.993669174,0.017480097,0.043268173,0
0.964285714,0.996748817,0.031857108,0.096344139,0
0.857142857,0.802985956,0.193438221,0.50090096,0
0.821428571,0.989356801,0.167408631,0.423044824,0
0.928571429,0.995167254,0.033996695,0.101901143,0
1,0.970854455,0.565740754,1.949693182,0
0.107142857,0.134319172,0.534193542,0.952644617,0
0.571428571,0.70269152,0.840993234,4.194107783,0
0.964285714,0.979303954,0.177284264,0.45147255,0
0.964285714,0.969105776,0.087234856,0.260370582,0
0.428571429,0.55968978,0.176804294,0.378437942,0
0.928571429,0.967505831,0.247708081,0.707266518,0
0.75,0.873040321,0.179468831,0.581564552,0
0.964285714,0.935605151,0.24630416,0.719647216,0
0.964285714,0.999921511,0.089021301,0.203664602,0
1,0.999445768,0.133421544,0.372808521,0
0.964285714,0.856952429,0.178991024,0.538267506,0
0.321428571,0.342932592,0.235182272,0.740756184,0
1,0.998878473,0.008073394,0.026341603,1
1,0.999388285,0.005535609,0.014421036,1
1,0.982454027,1.033963019,4.753519302,0
0.964285714,0.998955282,0.320948832,0.772412198,0
0.964285714,0.974807043,0.958597371,4.432059751,0
0.892857143,0.997010153,0.377235539,0.93264743,0
0.964285714,0.978577659,0.315587194,0.971300826,0
0.964285714,0.997614417,0.241002454,0.627689983,0
0.464285714,0.692714212,0.28081988,0.598981624,0
0.857142857,0.847911331,0.208849632,0.481483446,0
0.928571429,0.969066689,0.177850292,0.535717985,0
0.821428571,0.947238814,0.448219774,0.927600608,0
0.821428571,0.753207367,0.094540151,0.242930735,0
1,0.980230252,0.121652118,0.36736695,0
0.928571429,0.882736339,0.587934979,1.742508468,0
0.607142857,0.857324075,0.282363185,0.738327224,0
1,0.998346218,0.012876189,0.035224258,1
1,0.998070604,0.018844039,0.048448701,1
0.964285714,0.985617407,0.145709471,0.450377069,0
0.928571429,0.99319029,0.299923944,0.735770152,0
0.964285714,0.899435633,0.196293263,0.522490078,0
0.75,0.826210171,0.400579759,1.120295212,0
0.821428571,0.832077429,0.363109736,1.07021362,0
0.428571429,0.276552684,1.062845455,6.067462812,0
