Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
83,5.798,544.33722,6945,9071,10233,15483,4944,13900,674,14768,9451,7005,4600,7778,11705,6241
84,9.579,546.35187,16868,44797,38490,18510,75216,47671,22194,33180,29950,27416,23037,38675,27922,49302
85,9.786,546.35236,16868,4140,38490,5092,75216,5868,41458,9342,14250,982,648,38675,8318,49302
86,4.679,546.35443,4245,2783,15226,5827,22428,11485,14251,10727,12398,9409,5765,12666,18061,19972
87,4.456,546.35577,15530,10356,15226,17654,3576,46380,804,24449,12398,9409,15106,12666,18061,19972
88,3.18,548.38007,39201,27671,29626,29028,48295,37457,71019,54993,14318,40093,27552,31602,15318,39623
89,9.606,550.38538,3241,4928,3754,4662,5727,5298,956,4939,4296,2917,2657,3547,2648,3578
90,12.472,552.40234,1492,1397,1112,1797,2287,1837,2222,2244,1730,1324,537,1409,1232,1064
91,3.21,553.33545,16298,9034,11661,9998,18211,12582,23892,18506,7137,12741,9041,11575,6065,13535
92,9.628,562.32495,727,1143,1729,725,2534,1183,2088,991,912,1016,754,2055,1196,1319
93,9.797,562.33014,260,117,634,27,2534,133,2088,90,277,227,86,822,216,307
94,1.015,571.34552,2465,1627,317,780,2144,885,2641,1962,473,1378,986,2358,902,1306
95,4.08,572.3327,420,363,2796,2876,3264,324,1496,554,1108,1646,2635,2692,2168,1533
96,5.062,576.41284,2645,1822,2188,1978,2853,2070,64,3149,1431,1863,1565,1978,1028,2550
97,18.012,577.52039,3599,3801,2493,1722,1603,2634,1746,1566,754,2144,2491,2191,2364,2224
98,17.366,584.52356,1715,2214,1954,909,545,2235,892,643,595,1063,1863,2677,2139,1425
99,18.538,594.58105,1362,1605,2125,996,1494,1258,1379,1647,1825,1462,1092,1367,1692,1708
100,18.035,595.52838,3034,2680,2192,1113,1301,2077,1609,1338,776,1669,2016,1782,1935,1549
101,3.918,606.4212,5968,111,5516,1859,7108,1159,8849,6949,331,4358,917,5220,260,2680
102,11.547,609.48297,1047,3355,2943,995,2529,4379,2154,1803,2252,1537,3834,2844,1042,3638
